industry,cbp_naics_2017,bls_naics_2022,scope_note,cbp_year,oews_reference_year,total_establishments,establishments_lt5,establishments_5_9,establishments_10_19,small_establishments,market_depth,small_establishment_share,cbp_total_employment,avg_employees_per_establishment,oews_total_employment,oews_admin_employment,admin_employment_share,admin_mean_wage,estimated_admin_payroll_per_establishment
Accounting and tax services,5412//,541200,Four-digit accounting tax preparation bookkeeping and payroll industry,2023,2025,137069,95534,23330,10233,129097,129097,0.941840,1297995,9.469647,1091370,292350,0.267874,52180,132363.711563
Automotive repair and maintenance,8111//,811100,Four-digit industry includes repair maintenance and car washes,2023,2025,169572,102158,39562,20641,162361,162361,0.957475,992292,5.851744,1039270,105090,0.101119,46510,27521.030282
Chiropractors,621310,621310,Same six-digit industry in both sources,2023,2025,39913,28936,8391,2252,39579,39579,0.991632,150066,3.759828,147350,59400,0.403122,42280,64082.466319
Dental offices,6212//,621200,Offices of dentists; four-digit industry in both sources,2023,2025,135665,51142,48076,29790,129008,129008,0.950931,1028889,7.584042,1054930,297210,0.281734,51480,109996.538376
Electrical contractors,238210,238210,Same six-digit industry in both sources,2023,2025,83342,48799,15277,9329,73405,73405,0.880768,1015983,12.190528,1109770,88310,0.079575,54120,52499.747554
Home health care services,6216//,621600,Four-digit home-health industry in both sources,2023,2025,40762,14549,4800,6029,25378,25378,0.622590,1618759,39.712453,1789480,95750,0.053507,50010,106266.285363
Landscaping services,561730,561730,Same six-digit industry in both sources,2023,2025,117969,83241,17046,9491,109778,109778,0.930567,802899,6.806017,953760,62150,0.065163,49190,21815.836498
Legal services,5411//,541100,Four-digit legal-services industry in both sources,2023,2025,181092,129665,27636,13420,170721,170721,0.942731,1190297,6.572886,1224710,305700,0.249610,57710,94682.414190
Optometrists,621320,621320,Same six-digit industry in both sources,2023,2025,22501,10781,7248,3495,21524,21524,0.956580,147931,6.574419,155780,47350,0.303954,43130,86187.665085
Plumbing and HVAC contractors,238220,238220,Same six-digit industry in both sources,2023,2025,111207,64871,20587,13148,98606,98606,0.886689,1214761,10.923422,1310510,160890,0.122769,52150,69936.153210
Therapy practices,621340,621340,Physical occupational and speech therapists and audiologists,2023,2025,52058,29545,11145,7291,47981,47981,0.921684,466903,8.968900,509960,79910,0.156699,44480,62512.804375
Veterinary services,541940,541940,Same six-digit industry in both sources,2023,2025,34296,9498,7771,10228,27497,27497,0.801755,475106,13.853102,471540,105400,0.223523,43350,134232.666702
